,IC1931,IC1932,ACM1B,AC740NEW,UC7650,CA2050CYB,IC1003BK,CVL1084,ACM62B,CA2016WB,CA3602,AC208K12,CA1001WBML,AC967,AC968,IC1003BR,CA3810,CA2002,AC6008,CA2011WB,IS4000,CA2014WB,IC1940,AC960,AC104,AC204,PS2350,IMC7RD,IMC7BK,AC201,ACM7000,AC63B,ACM7002,AC401,ACM7003,CAMP44,AC400MV,AC404,ACM51B,ACM940,AC8002,AC851B,AC8003,CA3610,CA3908,AC100B,ACM90B,CA3614,CA2988,AC8000,CA3001RB,PS2500,IC1930,CA3550RB,AC840,ACM7000K12,CVL1064RB,CA2012RB,CA3488,CA3050,CA3350,AC202B,ACM70B,ACM60B,CA2022,CA3090,PS2370,MRMS3203,AC200B,CA2027,MRMS3204,CA2026,CA3001WB,AC850,CA2014RB,MRMS3201,MRMS3307,MRMS3306,ACM500RB,CA1001WB,MRMS3305,MRMS3448,CVL1065B,CA2880,CA3092BT,MRMS3304,UC7450,IC900,MRMS3206,HE200RB,MRMS3209,ACM6004
10/17/2015,0,0,28,0,3,0,0,175,1026,160,1,0,0,0,0,0,1,0,1,4,0,62,1,204,103,150,0,0,4,200,30,0,97,53,0,1,7,1274,97,83,26,58,65,0,8,1613,591,0,12,0,19,0,0,49,60,0,395,66,0,0,0,716,3161,10,0,50,0,0,312,0,0,77,113,35,105,0,0,0,635,1,0,0,0,140,0,0,0,1,0,86,0,0
10/24/2015,0,0,130,0,0,0,0,51,174,492,34,0,0,0,0,0,3,0,1,73,0,75,1,236,64,1481,0,0,0,294,51,0,119,103,39,0,1210,1061,87,1,5,-1,0,0,5,100,101,0,14,24,24,0,0,21,44,0,521,136,0,0,0,-1050,1297,0,0,33,0,0,0,0,0,185,45,81,301,0,0,1,714,10,0,0,0,100,0,0,0,0,0,114,0,0
10/31/2015,0,0,10,0,0,0,0,145,3,482,39,0,0,0,0,1,10,0,17,18,0,134,0,161,291,3027,1,0,1,934,369,0,222,31,0,0,185,630,95,0,113,1,83,0,17,19,53,0,389,130,18,0,2,131,267,0,102,45,0,0,0,802,2233,1,0,59,1,0,282,0,0,45,132,382,646,0,0,4,882,186,0,0,856,58,0,0,0,5,0,383,0,1
11/7/2015,0,0,271,0,0,0,0,132,62,576,77,0,0,0,20,0,7,0,0,129,0,101,0,6,148,2171,3,0,0,450,9,0,125,131,1,1,93,24,143,22,56,0,12,0,8,322,457,0,0,6,5,0,2,49,21,0,48,91,0,0,0,1113,972,1,0,60,0,0,1,0,0,325,472,48,931,0,0,0,457,71,0,0,105,76,0,0,2,2,0,37,0,0
11/14/2015,0,0,26,0,5,0,0,26,100,385,71,0,0,0,0,0,21,0,0,25,0,119,1,95,121,1448,1,0,0,68,74,0,450,110,0,0,145,1,41,9,150,15,53,0,28,100,425,0,16,71,21,0,0,44,52,0,80,107,0,0,0,1802,567,5,0,31,1,0,35,0,0,14,12,646,153,0,0,0,492,0,0,0,31,84,0,0,1,3,0,97,0,0
11/21/2015,0,0,32,0,0,0,0,69,31,609,24,0,0,100,0,0,15,0,3,61,0,196,1,373,6,910,5,0,0,208,85,0,25,34,0,0,50,69,172,3,51,111,93,0,3,52,260,0,-1,106,22,0,1,5,80,0,207,26,0,0,0,32,1375,6,0,26,6,0,159,0,0,18,107,356,132,0,0,0,458,20,0,0,9,39,0,0,7,0,0,46,0,0
11/28/2015,0,0,53,0,0,0,0,92,2820,746,112,0,0,0,0,0,11,0,17,68,0,123,1,246,75,2183,2,0,0,1272,68,0,307,189,0,3,330,414,129,72,40,41,19,0,14,201,259,0,294,98,24,0,1,30,353,0,191,89,0,0,0,545,2930,0,0,92,2,0,0,0,0,212,12,71,377,0,0,0,631,0,0,0,3,241,0,0,0,0,0,605,0,0
12/5/2015,0,0,52,0,0,0,0,114,13,1086,138,0,0,0,0,0,16,0,914,22,0,107,0,150,26,534,2,0,1,279,241,0,453,1,14,1,74,29,46,17,150,222,153,0,2,11,597,0,14,55,40,0,0,21,9,0,94,42,0,0,0,1,978,0,0,21,1,0,66,0,0,13,319,590,37,0,0,0,383,152,0,0,22,22,0,0,1,2,0,36,0,0
12/12/2015,0,0,21,0,1,0,0,13,651,577,86,0,0,0,0,0,10,0,2,44,0,77,2,136,58,3368,9,0,0,35,297,0,453,1,0,2,0,190,58,1,20,30,10,0,0,3,15,0,7,16,24,0,4,34,199,0,89,109,0,0,0,760,2150,3,0,72,0,0,231,0,0,48,104,48,42,0,0,0,612,0,0,1,27,238,0,0,0,1,0,99,0,0
12/19/2015,0,0,33,0,1,0,0,111,8,409,142,0,0,0,0,0,5,0,21,47,0,111,5,305,20,9470,2,0,0,71,47,0,105,47,26,37,76,39,15,1,198,32,45,0,0,30,15,0,1,46,41,0,0,29,29,0,32,18,0,0,0,3056,992,50,0,81,2,0,168,0,0,12,258,30,315,0,0,0,630,24,0,0,25,36,0,0,0,1,0,28,0,2
