,IC1931,IC1932,ACM1B,AC740NEW,UC7650,CA2050CYB,IC1003BK,CVL1084,ACM62B,CA2016WB,CA3602,AC208K12,CA1001WBML,AC967,AC968,IC1003BR,CA3810,CA2002,AC6008,CA2011WB,IS4000,CA2014WB,IC1940,AC960,AC104,AC204,PS2350,IMC7RD,IMC7BK,AC201,ACM7000,AC63B,ACM7002,AC401,ACM7003,CAMP44,AC400MV,AC404,ACM51B,ACM940,AC8002,AC851B,AC8003,CA3610,CA3908,AC100B,ACM90B,CA3614,CA2988,AC8000,CA3001RB,PS2500,IC1930,CA3550RB,AC840,ACM7000K12,CVL1064RB,CA2012RB,CA3488,CA3050,CA3350,AC202B,ACM70B,ACM60B,CA2022,CA3090,PS2370,MRMS3203,AC200B,CA2027,MRMS3204,CA2026,CA3001WB,AC850,CA2014RB,MRMS3201,MRMS3307,MRMS3306,ACM500RB,CA1001WB,MRMS3305,MRMS3448,CVL1065B,CA2880,CA3092BT,MRMS3304,UC7450,IC900,MRMS3206,HE200RB,MRMS3209,ACM6004
2/2/2015,0,0,0,0,0,0,0,68.75,0,234.21,216,0,0,0,0,0,0,204.4,0,0,25,42.9,0,0,8.46,11149.25,0,0,0,7.16,678.53,0,542.9,10.6,0,0,288,0,0,0,0,133,0,0,210,0,52.5,0,13.91,110,220.35,0,150,146,71.4,0,19.87,0,0,0,0,0,0,0,0,86,0,0,4.95,0,0,0,0,44,85,0,0,0,7.25,0,0,0,22.19,862.42,0,0,22.91,20.57,0,343.2,0,0
2/3/2015,0,0,2.86,0,0,0,0,41.25,0,576.81,216,0,0,0,0,60,49,58.4,0,111.48,0,572,0,849.6,0,12044.99,0,0,0,0,13.4,0,1405.41,1441.6,0,0,72,0,82.5,310,0,266,0,0,840,0,64.9,0,0,0,135.6,0,0,219,300.18,0,23.25,569.5,0,0,0,0,0,0,0,602,0,0,247.5,0,0,140.73,134.7,50,40.96,0,0,0,195.75,0,0,0,0,41.73,0,0,0,0,0,29.79,0,0
2/4/2015,0,0,0,0,0,0,0,68.75,83.6,615.85,1008,0,0,0,0,0,0,270.1,0,120.6,0,7.15,0,177,159.6,4910.5,0,0,0,10788.81,502.5,0,445,291,0,0,576,0,186,0,0,12749,0,0,140,0,1144.5,0,69.55,55,123.27,0,0,949,1820.7,0,9.3,357,0,0,0,0,0,0,0,86,0,0,0,0,0,234,31.2,198,110.5,0,0,0,22177.75,9.6,0,0,0,55.64,0,0,0,0,0,1328.91,0,0
2/5/2015,0,0,11.25,0,66,0,0,55,0,565,396,0,0,0,0,0,98,80.3,0,8.53,0,27.3,0,0,21.76,7092.05,0,0,0,0,676.7,0,117.34,4695.8,0,0,-360,3335,3,0,0,0,0,0,210,43.8,3097.5,0,0,0,169.5,0,0,0,17.85,0,23.25,0,0,0,0,40.4,0,0,0,559,0,0,0,0,0,432,312,66,85,0,0,0,33886.5,19.2,0,0,38.04,27.82,0,0,18,41.14,0,206.4,0,0
2/6/2015,0,0,2.25,0,0,0,0,1966.25,4.84,870.1,504,0,0,0,0,0,49,219,0,167.5,0,157.3,0,17.7,0,2841.65,0,0,0,494.04,335,0,445,-10.6,0,0,360,11.5,5.32,0,0,0,0,0,210,10.95,1050,0,1057.16,165,271.2,0,0,36.5,5238.09,0,61.72,153,0,0,0,12.7,2.8,0,0,64.5,0,0,153.45,0,0,22.91,0,1628,314.5,0,0,0,29,0,0,0,6.34,292.11,0,0,22.91,0,0,1677,0,0
2/7/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/8/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/9/2015,0,0,0,0,0,0,0,165,1218.9,1740.2,864,0,0,0,0,0,882,262.8,0,670,25,543.4,0,106.2,16.76,10475.14,0,0,0,716,234.5,0,4663.6,74.2,0,27.44,36,1587,6.78,15.5,0,0,0,0,140,1646.15,6.62,0,55.64,0,169.5,0,0,702.99,593.69,0,246.45,348.5,0,0,0,16,0,0,0,258,0,0,153.45,0,0,166.68,187.2,7343.16,2414,0,0,0,1334,9.6,0,0,190.2,709.41,0,0,0,0,0,7.8,0,0
2/10/2015,0,30,0,0,0,0,0,41.25,0,141.25,533.52,0,-12.1,0,0,0,294,136.8,0,368.5,0,378.95,0,17.7,8.38,0,0,0,0,1074,0,0,0,0,0,0,14.4,3013,87.9,77.5,0,0,0,0,2660,18.25,1102.5,0,153.01,2904,50.85,0,0,36.5,107.1,0,65.1,263.5,0,0,0,0,0,0,0,172,0,0,0,0,0,720,31.2,242,127.5,0,0,0,2443.25,9.6,0,0,0,157.77,0,0,0,0,0,218.4,0,0
2/11/2015,0,0,9,0,0,0,0,27.5,0,1272.72,900,0,0,0,0,0,196,474.5,0,0,0,393.25,0,885,6.65,1014,0,0,0,21670.36,0,0,0,0,0,0,0,0,307.56,0,9550.75,0,0,0,0,138.7,157.5,0,41.73,231,237.3,0,0,36.5,17.85,0,730.05,433.5,0,0,0,200,0,0,0,86,0,0,0,0,0,108,187.2,1567.72,459,0,0,0,2907.25,0,0,0,69.74,695.5,0,0,18,0,0,0,0,0
