,IC1931,IC1932,ACM1B,AC740NEW,UC7650,CA2050CYB,IC1003BK,CVL1084,ACM62B,CA2016WB,CA3602,AC208K12,CA1001WBML,AC967,AC968,IC1003BR,CA3810,CA2002,AC6008,CA2011WB,IS4000,CA2014WB,IC1940,AC960,AC104,AC204,PS2350,IMC7RD,IMC7BK,AC201,ACM7000,AC63B,ACM7002,AC401,ACM7003,CAMP44,AC400MV,AC404,ACM51B,ACM940,AC8002,AC851B,AC8003,CA3610,CA3908,AC100B,ACM90B,CA3614,CA2988,AC8000,CA3001RB,PS2500,IC1930,CA3550RB,AC840,ACM7000K12,CVL1064RB,CA2012RB,CA3488,CA3050,CA3350,AC202B,ACM70B,ACM60B,CA2022,CA3090,PS2370,MRMS3203,AC200B,CA2027,MRMS3204,CA2026,CA3001WB,AC850,CA2014RB,MRMS3201,MRMS3307,MRMS3306,ACM500RB,CA1001WB,MRMS3305,MRMS3448,CVL1065B,CA2880,CA3092BT,MRMS3304,UC7450,IC900,MRMS3206,HE200RB,MRMS3209,ACM6004
8/8/2015,0,30,150.57,0,0,0,0,756.25,2172.8,831.9,1980,0,0,0,0,0,147,-14.6,0,392.72,0,1623.05,0,902.7,66.5,7180.6,0,0,0,8119.32,656.6,0,427.2,833.3,0,0,324,30.08,196.26,155,948.75,380,-77.4,0,210,1091.35,4331.25,0,55.64,2299,666.26,0,0,839.5,7801.77,0,524.71,671.5,0,0,0,1299.3,7056.2,17.5,0,1275.11,0,0,1425.6,0,0,491.54,405.6,3036,753.22,0,0,0,581.67,9.6,0,0,158.5,224.7,0,0,126,0,0,894,0,0
8/15/2015,0,0,287.97,0,0,0,0,2488.75,3496,4699.18,3237.21,0,0,0,0,0,980,-7.3,0,113.38,0,1480.05,0,1079.7,1010.8,7552.2,0,0,0,6601.52,884.4,0,2812.4,1356.8,0,0,309.6,5980,144.76,206.27,2466.75,19,232.2,0,70,3.65,824.25,0,639.86,0,242.51,20,0,2139.44,1868.67,0,325.84,1555.5,4050,0,0,4023.45,3654,0,0,3014.94,0,0,1534.5,0,0,3731.54,4486.8,11066,942.83,0,0,0,819.8,1449.6,0,0,225.07,967.28,0,0,0,0,0,780,0,0
8/22/2015,0,0,29.94,0,22,0,0,1168.75,395.2,2037.91,2819.07,0,0,0,0,0,441,0,0,817.4,0,207.35,30,4584.3,445.55,6123.65,0,0,0,9489.96,1020.46,0,827.7,858.6,0,27.44,208.8,414,163.84,15.5,379.5,532,0,0,560,0,2450.91,0,4965.87,517.74,173.39,40,0,2383.72,398.19,0,359.12,255,0,0,0,6142.4,5711.48,0,0,709.5,0,0,222.75,0,0,574.62,2121.6,9025.08,1537.41,0,0,0,2117,41.35,0,0,367.72,128.4,0,0,126,0,0,943.8,0,0
8/29/2015,0,0,30.78,0,44,0,0,1100,1205.06,13159.96,3395.07,0,0,0,0,0,441,-7.3,0,490.88,0,1144,30,88.5,1596,4379.2,0,0,0,8928.52,1444.62,0,1651.3,708.56,0,0,943.2,1367.76,21.56,356.5,0,703,116.1,0,420,0,679.56,0,208.65,242,796.65,0,150,2249.86,5636.46,0,303.38,1156,0,0,0,10120.98,10557.14,3.26,0,537.5,0,0,524.7,0,0,234,358.8,4840,3316.7,0,0,0,3342.25,126.7,100,0,456.48,1831.27,0,0,41.76,0,0,1000.8,0,0
9/5/2015,0,0,42.75,0,0,0,0,2131.25,2118.5,3436.62,2443.68,0,0,0,0,0,343,0,0,642.92,100,1787.5,0,8920.8,66.5,8322.46,0,1100,0,8874.44,816.28,0,1453.55,1155.4,0,0,144,907.12,35.64,930,12.65,456,193.5,0,1400,171.55,805.98,0,347.75,55,405.42,0,0,1471.68,1632.17,0,593.35,459,0,0,0,3949.7,1401.2,0,0,858.28,0,0,1009.8,0,0,461.52,483.6,3217.28,1328.04,0,0,0,5265.82,1177.34,0,0,1077.8,852.96,0,0,0,0,0,550.7,0,0
9/12/2015,0,0,106.38,0,0,0,0,0,2590.1,2833.17,4223.52,0,0,0,0,0,343,0,4400,67,0,164.45,0,3575.4,6.65,6563.33,0,0,44,4058.66,958,0,2248.5,522.79,0,18.11,1058.4,1533.18,9.9,31,0,228,270.9,0,280,4573.45,589.68,0,55.64,1674.2,271.2,0,30,1070.18,3462.9,0,263.38,1606.5,0,0,0,3454.61,1879.1,0,0,687.14,0,0,326.7,0,0,239.76,6567.6,132,2883.2,0,0,0,2189.5,9.6,0,0,4869.12,310.47,0,0,0,0,0,1834.6,0,0
9/19/2015,0,0,32.13,0,0,0,0,165,1108.1,1660.22,1864.8,0,0,0,0,0,784,0,8.8,166.66,150,579.15,30,4354.2,39.9,2210.65,159.8,0,0,6775.07,44.76,0,974.75,593.17,0,72.44,662.4,1328.48,154.38,0,6831,855,19.35,0,490,65.7,735.21,26000,83.46,1100,1502.44,0,270,2760.86,1798.53,0,396.74,263.5,0,0,0,3568.7,5055,220.9,0,1518.76,54.95,0,297,0,0,1181.52,67.39,264,2154.24,0,0,0,5650.07,149.75,0,0,418.44,500.2,0,0,0,0,0,467.4,0,0
9/26/2015,0,0,102.6,0,0,0,0,1471.25,5880.15,3942.82,3455.01,0,0,0,0,0,392,0,0,254.04,0,1294.15,0,973.5,75.28,11873,239.7,0,44,1429.97,931.3,0,1497,879.8,0,0,151.2,76.64,17884.26,0,2213.75,1444,77.4,0,2380,40.15,288.96,0,778.96,308,389.85,20,0,365,826.81,0,1057.09,1088,0,0,0,2874,2.9,0,0,823.88,54.95,0,727.65,0,0,2249.28,1404,2544.08,2067.58,0,0,0,2935.67,288,0,0,263.11,537.48,0,0,144,20.57,0,1879.8,0,0
10/3/2015,0,0,95.25,0,0,0,0,4620,792.3,3054.68,71.91,0,0,0,0,30,441,0,0,826.3,0,1537.25,0,2301,75.36,7937.3,159.8,0,0,4565.52,245.59,0,1097.66,441.32,0,18.28,1576.8,3905.82,171,868,12.65,114,232.2,0,630,36.5,3228.75,0,806.78,29.32,310.74,0,0,584,886.53,0,533.2,1402.5,0,0,0,10102.85,6188.8,0,0,580.45,0,0,366.3,0,0,635.99,3234.36,1488.36,3989.08,25,0,0,5067.75,201.6,0,0,760.8,153.01,0,0,108,0,0,1177.8,0,0
10/10/2015,0,0,104.25,0,0,0,0,1127.5,7574.64,3267.4,167.94,0,0,0,0,0,784,0,0,475.68,0,586.3,60,831.9,57.62,15171.5,39.95,0,0,1133.66,582.9,0,1916.28,462.84,0,0,2786.4,1472,134.5,0,303.6,3401,309.6,0,910,4434.75,1512,0,514.67,439.8,112.98,0,0,1825,589.05,0,491.35,850,0,0,0,5761.56,4222.67,1.25,0,781.1,0,0,361.35,0,0,779.93,1357.2,2045.96,719.58,0,0,0,4639.76,0,0,0,0,709.33,0,0,0,20.57,0,847.34,0,0
